,Equipo,Clasificación,Juegos,Ganados,Empates,Perdidos,Goles a favor,Goles en contra,Tarjetas amarillas,Tarjetas rojas
0,Brasil,1,5,3,1,1,9,4,7,2
1,España,2,6,5,0,1,7,2,3,0
2,Portugal,3,4,1,2,1,7,1,8,1
3,Países Bajos,4,6,6,0,0,12,5,15,0
4,Italia,5,3,0,2,1,4,5,5,0
5,Alemania,6,6,4,0,2,13,3,8,1
6,Argentina,7,5,4,0,1,10,6,7,0
7,Inglaterra,8,4,1,2,1,3,5,6,0
8,Francia,9,3,0,1,2,1,4,6,1
9,Grecia,13,3,1,0,2,2,5,5,0
10,EE.UU.,14,4,1,2,1,5,5,9,0
11,Serbia,15,3,1,0,2,2,3,8,1
12,Uruguay,16,6,3,2,1,9,5,8,2
13,México,17,4,1,1,2,4,5,9,0
14,Chile,18,4,2,0,2,3,5,13,1
15,Camerún,19,3,0,0,3,2,5,5,0
16,Australia,20,3,1,1,1,3,6,7,2
17,Nigeria,21,3,0,1,2,3,5,5,1
18,Switzerland,24,3,1,1,1,1,1,8,1
19,Eslovenia,25,3,1,1,1,3,3,9,0
20,Costa de Marfil,27,3,1,1,1,4,3,5,0
21,Argelia,30,3,0,1,2,0,2,4,2
22,Paraguay,31,5,1,3,1,3,2,9,0
23,Ghana,32,5,2,2,1,5,4,11,0
24,Eslovaquia,34,4,1,1,2,5,7,11,0
25,Dinamarca,36,3,1,0,2,3,6,6,0
26,Honduras,38,3,0,1,2,0,3,7,0
27,Japón,45,4,2,1,1,4,2,7,0
28,Corea del Sur,47,4,1,1,2,6,8,6,0
29,Nueva Zelanda,78,3,0,3,0,2,2,6,0
30,Sudáfrica,83,3,1,1,1,3,5,4,1
31,Corea del Norte,105,3,0,0,3,1,12,2,0
